Address Number;Business Family;Business Unit;Customer;CustomerKey;Customer Type;Division;Line of Business;Phone;Region Code;Regional Sales Mgr;Search Type;City;Country;Customer Address 1;Customer Address 2;Customer Address 3;Customer Address 4;State;Zip Code
10007163;R3;1;C. Store;10007163;G1;1;M1;816-455-8733;5;S17;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10010974;R2;1;EDS Shop;10010974;G2;2;Não informado;816-455-8733;4;S9;C;Chippewa Falls;US;13296 County Highway 00;Não informado;Não informado;Não informado;WI;54729
10007183;R2;1;C.O.F. Shop;10007183;G2;1;Não informado;816-455-8733;5;S3;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10011198;R3;1;e-MDs Shop;10011198;G2;2;Não informado;816-455-8733;3;S1;C;Framingham;US;703 Waverly Street;Route 135;Não informado;Não informado;MA;1702
10007253;O2;1;C3 Supermarket;10007253;G2;1;Não informado;816-455-8733;5;S12;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10011398;R3;1;Ethyl Store;10011398;G2;2;Não informado;816-455-8733;1;S16;C;Eugene;US;1942 W 11th Avenue;Não informado;Não informado;Não informado;OR;97402-3519
10007258;R3;1;C3I Shop;10007258;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10011459;R3;1;F. Supermarket;10011459;G2;2;Não informado;816-455-8733;2;S1;C;Oak Ridge;US;901 Oak Ridge Turnpike;Não informado;Não informado;Não informado;TN;37830
10007268;R3;1;Cabco Supermarket;10007268;G2;1;Não informado;816-455-8733;5;S11;I;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10011521;R2;1;Farr Market;10011521;G2;2;Não informado;816-455-8733;2;S5;C;Okolona;US;32722 Highway 45;Não informado;Não informado;Não informado;MS;38860
10011724;O2;1;Federal Supermarket;10011724;G3;1;Não informado;816-455-8733;0;S1;C;Ingersoll;CA;300 Ingersoll Street;PO Box 1005;Não informado;Não informado;ON;N5C 4A6
10011732;R3;1;Federated Supermarket;10011732;G2;1;Não informado;816-455-8733;5;S16;C;                         ;UK;Não informado;Não informado;Não informado;Não informado;Não informado;0
10007448;R3;1;Cajun Shop;10007448;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10011734;R3;1;Felidae Enterprises;10011734;G2;2;Não informado;816-455-8733;2;S16;C;Atlanta;US;PO Box 19858 Station N;Não informado;Não informado;Não informado;GA;30325-0858
10007457;O2;1;CalComp Shop;10007457;G3;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10011918;R3;1;Ferrari Shop;10011918;G2;1;Não informado;816-455-8733;5;S16;I;                         ;UK;Não informado;Não informado;Não informado;Não informado;Não informado;0
10007468;R2;1;Caleidoscopio Supermarket;10007468;G2;1;Não informado;816-455-8733;5;S9;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10011923;R1;1;Ferst Shop;10011923;G2;2;Não informado;816-455-8733;4;S20;C;Moline;US;PO Box 8808;C/O APSS;Dept. 551;Não informado;IL;61266-8808
10007536;R2;1;Calypso Maxi Store;10007536;G2;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10011979;R3;1;FiberPlex Shop;10011979;G1;1;M1;816-455-8733;5;S19;C;4100 Porto;UK;Rua Eng Ferreira Dia 241-243;Não informado;Não informado;Não informado;Não informado;0
10011981;R3;1;FIBERWORKS Shop;10011981;G2;2;Não informado;816-455-8733;1;S16;C;Missoula;US;PO Box 2640;Não informado;Não informado;Não informado;MT;59806
10011997;R3;1;Fibronics Shop;10011997;G2;2;Não informado;816-455-8733;3;S16;C;Roanoke;US;2177 Dale Avenue SE;Não informado;Não informado;Não informado;VA;24013
10012226;R3;1;Fills;10012226;G2;2;Não informado;816-455-8733;4;S13;C;Troy;US;Worldwide Purchasing;1996 Technology Drive;Mail Code 483-619-114;Não informado;MI;48083
10012234;R3;1;Filmotype Shop;10012234;G2;2;Não informado;816-455-8733;1;S16;C;Hayward;US;PO Box 4658;Não informado;Não informado;Não informado;CA;94540
10012235;R3;1;Fimetrics Supermarket;10012235;G3;1;Não informado;816-455-8733;0;S5;C;Winnipeg;CA;PO Box 1005;Não informado;Não informado;Não informado;MB;R3C 2W7
10012422;R3;1;Finishing Shop;10012422;G2;2;Não informado;816-455-8733;2;S16;C;Saginaw;US;PO Box 510;Não informado;Não informado;Não informado;AL;35137
10012425;R1;1;Fins Shop;10012425;G2;2;Não informado;816-455-8733;4;S4;C;Oslo;US;RR1 Box 9;Não informado;Não informado;Não informado;MN;56744
10012715;R3;1;Fokas Midstore;10012715;G2;2;M1;816-455-8733;3;S16;C;Exeter;US;44 Tunkhannock Avenue;Não informado;Não informado;Não informado;PA;18643
10012761;R3;1;G.R. Supermarket;10012761;G1;1;M1;816-455-8733;5;S16;C;Cali;UK;Av 6A Norte 25 N 43;Não informado;Não informado;Não informado;Não informado;0
10013011;R3;1;Gamacles Shop;10013011;G1;1;M1;816-455-8733;5;S19;C;112 Reyjavik;AU;Vagnhofda 23;Não informado;Não informado;Não informado;Não informado;0
10013188;R3;1;Gartner Supermarket;10013188;G2;2;Não informado;816-455-8733;2;S16;C;Charlotte;US;PO Box 36409;Não informado;Não informado;Não informado;NC;28236
10013232;R3;1;Garza Supermarket;10013232;G2;2;Não informado;816-455-8733;4;S9;C;Milwaukie;US;PO Box 250825;Não informado;Não informado;Não informado;WI;53225
10013238;R1;1;Gastown Store;10013238;G2;2;Não informado;816-455-8733;4;S11;C;Janesville;US;PO Box 5222;Não informado;Não informado;Não informado;WI;53547-5222
10013252;O2;1;Gate Shop;10013252;G2;2;Não informado;816-455-8733;2;S12;C;Irving;US;Dallas PDC #15;Attention  Accounts Payable;PO Box 167728;Não informado;TX;75016-7728
10013467;R3;1;GDSS Shop;10013467;G2;2;Não informado;816-455-8733;1;S1;C;Farmington;US;2015 San Juan Boulevard;Não informado;Não informado;Não informado;NM;87401
10013472;R3;1;GE Market;10013472;G2;2;Não informado;816-455-8733;4;S9;C;Indianapolis;US;3343 Shelby Street;Não informado;Não informado;Não informado;IN;46227
10013509;R3;1;Geac Shop;10013509;G2;2;Não informado;816-455-8733;4;S16;C;Joliet;US;207 North Scott;Não informado;Não informado;Não informado;IL;60435
10013765;R3;1;Gemini Supermarket;10013765;G2;2;Não informado;816-455-8733;4;S16;C;St Louis;US;5821 Hampton Avenue;Não informado;Não informado;Não informado;MO;63109
10014043;R3;1;Guarantee Supermarket;10014043;G1;1;M1;816-455-8733;5;S18;C;Guadalajara Jal Mexico;IR;Rinconada De La Floresta 1137;Rinconada Del Bosque CP;Não informado;Não informado;Não informado;44530
10014047;R2;1;Gulf Market;10014047;G2;2;Não informado;816-455-8733;1;S4;C;Fresno;US;1510 Merced Street;Não informado;Não informado;Não informado;CA;93706
10014238;R3;1;Harbor Store;10014238;G1;1;M1;816-455-8733;5;S19;C;2215 TC Voorhout;IR;S Gravendam Seweg 53;Não informado;Não informado;Não informado;Não informado;0
10009645;O2;1;Day Market;10009645;G2;1;Não informado;816-455-8733;5;S12;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10014264;R3;1;Harbour Store;10014264;G2;2;Não informado;816-455-8733;4;S1;C;Springfield;US;1935 S Campbell;Não informado;Não informado;Não informado;MO;65898
10014469;O2;1;Harte-Hanks Market;10014469;G2;2;Não informado;816-455-8733;4;S12;C;Livonia;US;Accounting Department Service & Parts;PO Box 537940;Não informado;Não informado;MI;48153-7940
10014471;R1;1;Harts Superstore;10014471;G3;1;Não informado;816-455-8733;0;S2;C;Calgary;CA;2916-21st Street Northeast;Não informado;Não informado;Não informado;AB;T2E 6Z2
10014495;R3;1;Harvard Supermarket;10014495;G2;2;Não informado;816-455-8733;1;S16;C;Clackamas;US;12900 SE Capps Road;Não informado;Não informado;Não informado;OR;97015
10014533;O2;1;Harvey Shop;10014533;G2;2;Não informado;816-455-8733;4;S12;C;Aurora;US;Chicago PDC #22;Attention  Accounts Payable;PO Box 2060;Não informado;IL;60507-2060
10014540;R3;1;HarveyOpolis Shop;10014540;G1;1;M1;816-455-8733;5;S16;C;1980 Santiago;UK;Avda Bdo O'Higgins;Não informado;Não informado;Não informado;Não informado;0
10014546;R3;1;Hauppauge Supermarket;10014546;G2;2;Não informado;816-455-8733;1;S16;C;Phoenix;US;Division of Western Truck Sales Inc;3530 East Washington Street;Não informado;Não informado;AZ;85034
10014739;R2;1;Haz-Mat Store;10014739;G2;2;Não informado;816-455-8733;2;S5;C;Tulsa;US;Division of Parkhurst;15051 E Admiral Place;Não informado;Não informado;OK;74116
10014779;R3;1;HBO Supermarket;10014779;G2;2;Não informado;816-455-8733;3;S16;C;Fairview;US;PO Box 206;Não informado;Não informado;Não informado;NJ;7022
10014803;R3;1;HCHS Shop;10014803;G2;2;Não informado;816-455-8733;4;S16;C;Grand Rapids;US;3056 Eastern Avenue SE;Não informado;Não informado;Não informado;MI;49508
10014804;R3;1;HCS Shop;10014804;G2;2;Não informado;816-455-8733;2;S16;C;Shreveport;US;Attention: Ann Borden;PO Box 31435;Não informado;Não informado;LA;71130
10014810;O1;1;Healtheon Shop;10014810;G2;2;Não informado;816-455-8733;4;S5;C;Canton;US;Attention: Accounts Payable Department;PO Box 8844;Não informado;Não informado;OH;44711-8844
10015011;R3;1;Hederman Supermarket;10015011;G1;1;M1;816-455-8733;5;S19;C;SE-132 28 Saltsjo-Boo;AU;Svarvarvagen 14;Não informado;Não informado;Não informado;Não informado;0
10015030;R2;1;Hegemony Shop;10015030;G2;2;Não informado;816-455-8733;1;S5;C;Anchorage;US;2192 Viking Drive;Não informado;Não informado;Não informado;AK;99501
10015267;R3;1;Helfand Store;10015267;G1;1;M1;816-455-8733;5;S19;C;Sollinge Molle;UK;5750 Ringe;Não informado;Não informado;Não informado;Não informado;0
10015275;R3;1;Helios Shop;10015275;G2;2;Não informado;816-455-8733;4;S16;C;Marshfield;US;1601 East 29th Street;Não informado;Não informado;Não informado;WI;54449
10015495;R3;1;Hennings;10015495;G2;2;M1;816-455-8733;4;S16;C;Kansas City;US;Attention:  Accounts Payable;686 South Adams;Não informado;Não informado;KS;66105
10015783;R3;1;Hershey Supermarket;10015783;G2;2;Não informado;816-455-8733;3;S1;I;Philadelphia;US;Attention: Anna Markert;3111 W Allegheny Avenue;Não informado;Não informado;PA;19132
10015789;R3;1;hesketh.com Shop;10015789;G1;1;M1;816-455-8733;5;S19;C;Jeddah;AU;PO Box 14311;Não informado;Não informado;Não informado;Não informado;21424
10015793;R3;1;Hetrick Supermarket;10015793;G2;2;Não informado;816-455-8733;1;S16;C;Sacramento;US;3248 Auburn Boulevard;Não informado;Não informado;Não informado;CA;95821
10015824;R2;1;Heurikon Shop;10015824;G2;2;Não informado;816-455-8733;4;S5;C;South Bend;US;PO Box 7005;Não informado;Não informado;Não informado;IN;46634-7005
10010832;R2;1;?change Store;10010832;G2;1;Não informado;816-455-8733;5;S11;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10016045;R3;1;High Supermarket;10016045;G2;2;Não informado;816-455-8733;4;S16;C;Monroe;US;1051 West 7th Street;Building # 2;Não informado;Não informado;WI;53566
10010855;R3;1;ECI Supermarket;10010855;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10016047;R3;1;High Store;10016047;G2;2;Não informado;816-455-8733;2;S16;C;Nashville;US;975 Main Street;Não informado;Não informado;Não informado;TN;37206
10010865;R3;1;ECS Supermarket;10010865;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10016303;R1;1;HMR Shop;10016303;G2;2;Não informado;816-455-8733;3;S20;C;Buffalo;US;60 Depot Street;Não informado;Não informado;Não informado;NY;14206
10010881;R1;1;Ed Store;10010881;G2;1;Não informado;816-455-8733;5;S11;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10016334;R3;1;Hobart Store;10016334;G2;2;M1;816-455-8733;4;S16;C;Overland Park;US;Attention Accounts Payable Department;PO Box 12990;Não informado;Não informado;KS;66282-2990
10010882;R3;1;EDA Supermarket;10010882;G2;1;Não informado;816-455-8733;5;S16;I;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10016542;O2;1;Holy Supermarket;10016542;G2;2;Não informado;816-455-8733;2;S12;C;Greenville;US;Greenville PDC #23;52 Bruce Road;Não informado;Não informado;SC;29605
10016548;R3;1;Home Superstore;10016548;G2;2;Não informado;816-455-8733;2;S16;C;Mobile;US;4700 Rangeline Road;Não informado;Não informado;Não informado;AL;36619
10016549;R3;1;Home Store;10016549;G2;2;Não informado;816-455-8733;2;S16;C;Jacksonville;US;PO Box 6307;Não informado;Não informado;Não informado;FL;32236
10016564;R3;1;Home Market;10016564;G2;2;Não informado;816-455-8733;4;S16;C;Traverse City;US;PO Box 2338;Não informado;Não informado;Não informado;MI;49685
10016588;R3;1;Bounds Megaplace;10016588;G2;2;M1;816-455-8733;2;S16;C;Schertz;US;6025 Corridor Parkway;Não informado;Não informado;Não informado;TX;78154-3214
10016609;R1;1;Homestead Market;10016609;G3;1;Não informado;816-455-8733;0;S21;C;Winnepeg;CA;Unicity Distribution Systems;1445 Church Avenue;Não informado;Não informado;MB;R2X 2X9
10016784;R2;1;IBEX Shop;10016784;G2;2;Não informado;816-455-8733;4;S5;C;Pocahontas;US;PO Box 129;Não informado;Não informado;Não informado;IA;50574
10016807;R3;1;Ibis Shop;10016807;G2;2;M1;816-455-8733;4;S16;C;Overland Park;US;Attention  Accounts Payable Department;PO Box 12990;Não informado;Não informado;KS;66282-2990
10016858;R2;1;IBVA Shop;10016858;G2;2;Não informado;816-455-8733;1;S5;C;Beaverton;US;6590 SW Fallbrook Place;(Commercial Industrial);Não informado;Não informado;OR;97008
10017036;R1;1;Icon Superstore;10017036;G2;2;Não informado;816-455-8733;4;S11;C;Eagan;US;580 Yankee Doodle Rd Ste 1200;Não informado;Não informado;Não informado;MN;55121
10017054;R3;1;Icon Market;10017054;G2;2;Não informado;816-455-8733;4;S1;C;Newport;US;7640 North Telegraph;Não informado;Não informado;Não informado;MI;O
10017072;R3;1;Iconation Shop;10017072;G2;2;Não informado;816-455-8733;4;S9;C;Chicago;US;4200 S Morgan Street;Não informado;Não informado;Não informado;IL;60609
10017290;R3;1;Id Shop;10017290;G1;1;M1;816-455-8733;5;S16;C;Bogota;UK;Transversal 49 No. 102-00;Não informado;Não informado;Não informado;Não informado;0
10017307;R3;1;Idyll Store;10017307;G3;1;Não informado;816-455-8733;0;S8;C;Anjou;CA;10401 Boul Parkway;Não informado;Não informado;Não informado;QU;H1V 1R4
10010990;R1;1;Elbit Market;10010990;G2;1;Não informado;816-455-8733;5;S20;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10017314;R3;1;Idyllwild Shop;10017314;G2;2;Não informado;816-455-8733;2;S14;C;El Paso;US;8901 Montana Avenue;Não informado;Não informado;Não informado;TX;79925
10011018;R3;1;Eloi Supermarket;10011018;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10017553;R2;1;iLanguage Shop;10017553;G2;2;Não informado;816-455-8733;4;S5;C;Ottawa;US;PO Box 660;Não informado;Não informado;Não informado;KS;66067-3805
10011052;R3;1;Elucidex Shop;10011052;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10017576;R3;1;Illuminati Shop;10017576;G2;2;Não informado;816-455-8733;2;S16;C;New Orleans;US;PO Box 10455;Não informado;Não informado;Não informado;LA;70181
10011089;R2;1;Embedded Supermarket;10011089;G3;1;Não informado;816-455-8733;5;S8;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10017585;R3;1;Ilog Shop;10017585;G2;2;Não informado;816-455-8733;4;S16;C;Milwaukie;US;11811 West Silver Spring Drive;Não informado;Não informado;Não informado;WI;53225
10011093;R3;1;EMC Shop;10011093;G2;1;M1;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10017638;R3;1;Kellys Gigastore;10017638;G2;2;Não informado;816-455-8733;3;S16;C;Roanoke;US;Advance Auto Parts;Attn  Merchandise Accts. Payable;P.O. Box 2710;Não informado;VA;24001
10017828;R1;1;Lee Megastore;10017828;G2;2;Não informado;816-455-8733;1;S20;C;Cypress;US;PO Box 762;Não informado;Não informado;Não informado;CA;90630
10011286;R4;1;Emergency Shop;10011286;G2;1;Não informado;816-455-8733;5;S18;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10018129;R3;1;J.M. Market;10018129;G1;1;M1;816-455-8733;5;S19;C;ZI 1 Ducos;IR;Rue Champion;Não informado;Não informado;Não informado;Não informado;0
10011345;R3;1;Emergent Shop;10011345;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10018146;R3;1;J.M. Supermarket;10018146;G3;1;Não informado;816-455-8733;0;S8;C;Fort Macleod;CA;Box 1178;Não informado;Não informado;Não informado;AB;T0L 0Z0
10011355;R3;1;Enterprises Shop;10011355;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10018363;R3;1;Jones Stores;10018363;G1;1;M1;816-455-8733;5;S18;C;Panama Rep De Panama;IR;EDIF N 4141;Apdo Postal 642 Zona 9-A;Não informado;Não informado;Não informado;0
10011360;R2;1;Equitable Store;10011360;G2;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10018371;R3;1;Joy Supermarket;10018371;G1;1;M1;816-455-8733;5;S19;C;00-394 Warsaw;UK;Solec 44;Não informado;Não informado;Não informado;Não informado;0
10018580;R2;1;K Supermarket;10018580;G2;2;Não informado;816-455-8733;2;S1;C;Beaumont;US;PO Box 790;Não informado;Não informado;Não informado;TX;77704
10018603;R3;1;K&K Supermarket;10018603;G1;1;M1;816-455-8733;5;S19;C;Dubai;UK;PO Box 12932;Não informado;Não informado;Não informado;Não informado;0
10011499;R3;1;Farmland Supermarket;10011499;G2;1;Não informado;816-455-8733;5;S14;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10018623;R1;1;K&M Supermarket;10018623;G2;2;Não informado;816-455-8733;2;S5;C;Laurel;US;17 Perry Road;Não informado;Não informado;Não informado;MS;39440
10018628;R2;1;K.C. Supermarket;10018628;G2;2;Não informado;816-455-8733;1;S5;C;Tigard;US;12805 SW 77th Place;Não informado;Não informado;Não informado;OR;97223
10011546;R3;1;Farrell Supermarket;10011546;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10018644;R3;1;Kabbalah Shop;10018644;G2;2;M1;816-455-8733;4;S16;C;Overland Park;US;Attention  Accounts Payable Department;PO Box 12990;Não informado;Não informado;KS;66282-2990
10011600;R3;1;FCS Shop;10011600;G2;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10018665;R3;1;Kaim Supermarket;10018665;G2;2;M1;816-455-8733;3;S16;C;Wester Chester;US;1028 Saunders Lane;Não informado;Não informado;Não informado;PA;19380
10011623;R2;1;Federal Supermarket;10011623;G2;1;Não informado;816-455-8733;5;S3;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10018867;R3;1;Kari Supermarket;10018867;G2;2;Não informado;816-455-8733;4;S16;C;Flint;US;2400 R E O Drive;Não informado;Não informado;Não informado;MI;48507
10018868;R3;1;Karickal Store;10018868;G1;1;M1;816-455-8733;5;S19;C;                         ;AU;PO Box 871 Safat;Não informado;Não informado;Não informado;Não informado;0
10018871;O2;1;Karsings;10018871;G2;2;Não informado;816-455-8733;4;S12;C;Livonia;US;Field Accounting Department;PO Box 2003;Não informado;Não informado;MI;48151
10018877;R3;1;KAT Store;10018877;G1;1;M1;816-455-8733;5;S17;C;Beirut;AU;Dagher Plast Building 17;Baizoob Area;Não informado;Não informado;Não informado;0
10011821;R3;1;FenP Supermarket;10011821;G2;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10018885;R3;1;Kawneer Market;10018885;G2;2;Não informado;816-455-8733;1;S1;C;Pocatello;US;128 So. 2nd Avenue;Não informado;Não informado;Não informado;ID;83201
10011842;R3;1;Fentek Market;10011842;G2;1;Não informado;816-455-8733;5;S16;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10018890;R3;1;Kazinformcom Shop;10018890;G2;2;Não informado;816-455-8733;4;S1;C;St. Cloud;US;18 North East 7th Avenue;Não informado;Não informado;Não informado;MN;56304
10011870;O2;1;Fenwick Supermarket;10011870;G2;1;Não informado;816-455-8733;5;S12;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10019105;R3;1;Kensington Market;10019105;G2;2;Não informado;816-455-8733;3;S1;C;Mechanicsville;US;6029 Mechanicsville Pike;Não informado;Não informado;Não informado;VA;23111
10019109;O2;1;KentISP Shop;10019109;G2;2;Não informado;816-455-8733;1;S12;C;Sacramento;US;Sacramento PDC #13;Attention  Accounts Payable;PO Box 15279 C;Não informado;CA;95851-1297
10019150;O2;1;Kentucky Supermarket;10019150;G2;2;Não informado;816-455-8733;2;S12;C;Jacksonville;US;Jacksonville PDC #21;Attention  Accounts Payable;PO Box 23017;Não informado;FL;32241-3017
10019388;R3;1;KeyComm Shop;10019388;G2;2;Não informado;816-455-8733;1;S1;C;Ft Collins;US;1101 N College Avenue;Não informado;Não informado;Não informado;CO;80524
10019400;R3;1;Keystar Superstore;10019400;G2;2;Não informado;816-455-8733;4;S1;C;Valparaiso;US;861 West US Highway 30;Não informado;Não informado;Não informado;IN;46385
10019410;R1;1;Keystone Store;10019410;G3;1;Não informado;816-455-8733;0;S2;C;Edmonton;CA;6710 76 Avenue;Não informado;Não informado;Não informado;AB;T6B 0A8
10012023;R3;1;FICOM Shop;10012023;G3;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10019420;R3;1;Keystroke Market;10019420;G1;1;M1;816-455-8733;5;S19;C;Ruwi;IR;PO Box 880 PC-112;Não informado;Não informado;Não informado;Não informado;0
10012128;R3;1;Fifth Supermarket;10012128;G3;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10019617;R3;1;Kool-Seal Shop;10019617;G2;2;Não informado;816-455-8733;2;S1;C;Spring;US;2445 FM 2920;Não informado;Não informado;Não informado;TX;77388
10012157;R3;1;Fifth Store;10012157;G2;1;Não informado;816-455-8733;5;S9;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10019664;R1;1;Koppers Supermarket;10019664;G2;2;Não informado;816-455-8733;4;S20;C;MOLINE;US;PO BOX 8808;C/O APSS;Dept. 551;Não informado;IL;61266-8808
10012158;R3;1;Filene? Shop;10012158;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10019665;R3;1;Labatt Supermarket;10019665;G2;2;M1;816-455-8733;4;S16;C;Hammond;US;7940 New Jersey Avenue;Não informado;Não informado;Não informado;IN;46323
10012161;R3;1;Filetron Shop;10012161;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10019678;R3;1;Laker Market;10019678;G2;2;Não informado;816-455-8733;1;S16;C;Sacramento;US;3248 Auburn Boulevard;Não informado;Não informado;Não informado;CA;95821
10019682;R3;1;Lamson Store;10019682;G2;2;Não informado;816-455-8733;4;S3;C;Lennox;US;PO Box 409;Não informado;Não informado;Não informado;SD;57039
10019879;R3;1;Litton Shop;10019879;G2;2;Não informado;816-455-8733;2;S1;C;Duluth;US;3564 Buford Highway;Não informado;Não informado;Não informado;GA;30096
10019880;O2;1;Litton Supermarket;10019880;G2;2;Não informado;816-455-8733;3;S12;C;Somerset;US;New York PDC #20;Attention  Accounts Payable;PO Box 6750;Não informado;NJ;08873-6750
10012305;R3;1;FIND/SVP Shop;10012305;G2;1;Não informado;816-455-8733;5;S9;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10019897;R3;1;Livermore Store;10019897;G2;2;Não informado;816-455-8733;2;S16;C;El Paso;US;7210 Gateway East;Não informado;Não informado;Não informado;TX;79915
10012328;R1;1;Finder Shop;10012328;G2;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10019900;R3;1;LiveWire Supermarket;10019900;G2;2;Não informado;816-455-8733;1;S16;C;Sacramento;US;3248 Auburn Boulevard;Não informado;Não informado;Não informado;CA;95821
10012369;R3;1;Finest Supermarket;10012369;G2;1;Não informado;816-455-8733;5;S4;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10019909;R2;1;LiveWORLD Shop;10019909;G2;2;Não informado;816-455-8733;4;S5;C;Shawano;US;500 Airport Drive;Não informado;Não informado;Não informado;WI;54166
10012399;R3;1;Finisar Shop;10012399;G2;1;Não informado;816-455-8733;5;S1;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10019913;R3;1;Livezone Supermarket;10019913;G3;1;Não informado;816-455-8733;0;S17;C;Calgary;CA;10901 Macleod Trail South;Não informado;Não informado;Não informado;AB;T2J 4L3
10019942;R3;1;LMAO superplace;10019942;G2;2;Não informado;816-455-8733;4;S16;C;New Castle;US;299 East Country Road 300 South;Não informado;Não informado;Não informado;IN;47362
10020171;R3;1;Lynn-Arthur Store;10020171;G2;2;Não informado;816-455-8733;3;S1;C;Morgantown;US;1537 Sabraton Ave;Não informado;Não informado;Não informado;WV;26505
10012514;R2;1;Firehole Shop;10012514;G2;1;Não informado;816-455-8733;5;S5;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10020181;R3;1;Markets;10020181;G1;1;M1;816-455-8733;5;S19;C;D 95326 Kulmbach;UK;Am Schwimmbad 8;Postfach 2008;Não informado;Não informado;Não informado;0
10012600;R3;1;FireTrans Shop;10012600;G2;1;Não informado;816-455-8733;5;S4;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10020184;O2;1;Matradi Megastore;10020184;G2;2;Não informado;816-455-8733;2;S12;C;Smyrna;US;Corporation USA;Nissan Drive;Não informado;Não informado;TN;37167
10020192;R3;1;MATRIX Shop;10020192;G2;2;Não informado;816-455-8733;1;S16;C;Sacramento;US;3248 Auburn Boulevard;Não informado;Não informado;Não informado;CA;95821
10020193;R2;1;Maui Store;10020193;G2;1;Não informado;816-455-8733;5;S5;C;                         ;UK;Não informado;Não informado;Não informado;Não informado;Não informado;0
10012792;R3;1;Gadzoox Supermarket;10012792;G2;1;Não informado;816-455-8733;5;S9;C;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;Não informado;0
10020388;R3;1;Metro-Goldwyn-Mayer, Supermarket;10020388;G2;2;Não informado;816-455-8733;3;S1;C;Glen Burnie;US;7216 Ritchie Highway;Não informado;Não informado;Não informado;MD;21061
